index,Hip,ra_hours,dec_degrees,flamsteed,bayer,const,name,magnitude,epoch_year
1894,75304,15.38593424,-36.85843627,,φ²,Lup,,4.54,2000.25
1895,75312,15.38672952,30.28824114,2,ς,CrB,,4.99,2000.25
1896,75323,15.38962715,-59.32069839,,γ,Cir,,4.48,2000.25
1897,75342,15.39546282,-1.02231511,8,,Ser,,6.11,2000.25
1898,75379,15.40331392,-10.32189476,31,ε,Lib,,4.92,2000.25
1899,75411,15.4082045,37.37696091,51,μ¹,Boo,,4.31,2000.25
1900,75415,15.40860271,37.34709337,51,μ²,Boo,,6.51,2000.25
1901,75439,15.41250787,-39.71013154,,υ,Lup,,5.36,2000.25
1902,75458,15.41549558,58.96602354,12,ι,Dra,,3.29,2000.25
1903,75530,15.42983476,15.42805438,9,τ¹,Ser,,5.16,2000.25
1904,75695,15.46384775,29.10549164,3,β,CrB,,3.66,2000.25
1905,75730,15.4709439,-16.7164031,32,ζ¹,Lib,,5.64,2000.25
1906,75761,15.47730179,1.84216258,10,,Ser,,5.15,2000.25
1907,75944,15.51121876,-16.60945806,34,ζ³,Lib,,5.82,2000.25
1908,75973,15.51548634,40.83306815,52,ν¹,Boo,,5.04,2000.25
1909,76008,15.52362616,77.34933897,15,θ,UMi,,5.0,2000.25
1910,76013,15.52522795,-73.38954647,,κ¹,Aps,,5.4,2000.25
1911,76041,15.52972009,40.89936876,53,ν²,Boo,,4.98,2000.25
1912,76069,15.53602133,16.05615239,12,τ²,Ser,,6.22,2000.25
1913,76126,15.54867436,-16.85280725,35,ζ⁴,Lib,,5.53,2000.25
1914,76127,15.5488322,31.35915517,4,θ,CrB,,4.14,2000.25
1915,76133,15.54942996,-1.18629929,11,,Ser,,5.5,2000.25
1916,76219,15.56958881,-10.06395962,37,,Lib,,4.61,2000.25
1917,76259,15.5770304,-28.04690734,36,,Lib,,5.13,2000.25
1918,76267,15.57810819,26.71491041,5,α,CrB,Alphekka,2.22,2000.25
1919,76276,15.58005284,10.53885916,13,δ,Ser,,3.8,2000.25
1920,76297,15.58568343,-41.16669497,,γ,Lup,,2.8,2000.25
1921,76307,15.58747225,39.01004619,6,μ,CrB,,5.14,2000.25
1922,76333,15.59209426,-14.78955365,38,γ,Lib,,3.91,2000.25
1923,76337,15.59257704,17.65558738,15,τ³,Ser,,6.1,2000.25
1924,76424,15.60810988,16.1190982,18,τ⁵,Ser,,5.93,2000.25
1925,76425,15.60820887,10.0104549,16,,Ser,,5.26,2000.25
1926,76427,15.60936741,-0.56147928,14,,Ser,,6.51,2000.25
1927,76440,15.61199636,-66.31690469,,ε,TrA,,4.11,2000.25
1928,76470,15.61707183,-28.13507099,39,υ,Lib,,3.6,2000.25
1929,76534,15.63043082,40.35328811,54,φ,Boo,,5.25,2000.25
1930,76552,15.63425619,-42.56748493,,ω,Lup,,4.34,2000.25
1931,76600,15.64427343,-29.77768935,40,τ,Lib,,3.66,2000.25
1932,76628,15.64847424,-19.30170914,41,,Lib,,5.36,2000.25
1933,76669,15.65630105,36.63582763,7,ζ¹,CrB,,4.64,2000.25
1934,76705,15.66277079,-34.41189273,3,ψ¹,Lup,,4.66,2000.25
1935,76742,15.67136259,-23.81805841,42,,Lib,,4.97,2000.25
1936,76750,15.6725997,-73.44663458,,κ²,Aps,,5.64,2000.25
1937,76810,15.68307981,16.024629,19,τ⁶,Ser,,6.0,2000.25
1938,76852,15.69252564,19.67050566,21,ι,Ser,,4.51,2000.25
1939,76866,15.6964977,12.84753869,20,χ,Ser,,5.34,2000.25
1940,76878,15.6985439,18.46389861,22,τ⁷,Ser,,5.8,2000.25
1941,76880,15.69911629,-19.67857446,43,κ,Lib,,4.75,2000.25
1942,76945,15.7113992,-34.71033325,4,ψ²,Lup,,4.75,2000.25
1943,76952,15.71239951,26.29551419,8,γ,CrB,,3.81,2000.25
1944,76996,15.7211391,-84.46550807,,ρ,Oct,,5.57,2000.25
1945,77048,15.73314456,32.51582804,9,π,CrB,,5.57,2000.25
1946,77052,15.73384608,2.51552506,23,ψ,Ser,,5.86,2000.25
1947,77055,15.73429554,77.79449901,16,ζ,UMi,,4.29,2000.25
1948,77060,15.73456121,-15.67267949,44,ς,Lib,,5.41,2000.25
1949,77070,15.7377766,6.42551971,24,α,Ser,Unukalhai,2.63,2000.25
1950,77111,15.74504162,17.26421031,26,τ⁸,Ser,,6.15,2000.25
1951,77227,15.76823606,-1.80411556,25,,Ser,,5.39,2000.25
1952,77233,15.76978191,15.42192602,28,β,Ser,,3.65,2000.25
1953,77257,15.77409608,7.35323973,27,λ,Ser,,4.42,2000.25
1954,77336,15.78815339,14.11527157,31,υ,Ser,,5.71,2000.25
1955,77450,15.81233572,18.1417793,35,κ,Ser,,4.09,2000.25
